ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
14030475,JJ491241,2025-11-15 21:54:00,071XX S JEFFERY BLVD,0560,ASSAULT,SIMPLE,APARTMENT,False,False,333,3,5.0,43.0,08A,1190785.0,1857841.0,2025,11/23/2025 03:42:58 PM,41.764932153,-87.576272783,"(41.764932153, -87.576272783)"
14030051,JJ490866,2025-11-15 21:48:00,026XX S CALUMET AVE,2027,NARCOTICS,POSSESS - CRACK,STREET,False,False,133,1,4.0,35.0,18,1178928.0,1886923.0,2025,11/23/2025 03:42:58 PM,41.84501388,-87.618845527,"(41.84501388, -87.618845527)"
14030058,JJ490862,2025-11-15 21:45:00,014XX S TRIPP AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,1011,10,24.0,29.0,08A,1148282.0,1892849.0,2025,11/23/2025 03:42:58 PM,41.861920144,-87.731160359,"(41.861920144, -87.731160359)"
14030052,JJ490865,2025-11-15 21:41:00,051XX W NORTH AVE,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,2533,25,37.0,25.0,26,1141671.0,1910146.0,2025,11/23/2025 03:42:58 PM,41.90950992,-87.75500067,"(41.90950992, -87.75500067)"
14030062,JJ490858,2025-11-15 21:40:00,014XX E 67TH ST,0820,THEFT,$500 AND UNDER,STREET,False,False,321,3,5.0,42.0,06,1186638.0,1860848.0,2025,11/23/2025 03:42:58 PM,41.773282781,-87.591377424,"(41.773282781, -87.591377424)"
14030315,JJ491142,2025-11-15 21:30:00,031XX S MAY ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,False,False,913,9,11.0,60.0,05,1169157.0,1884050.0,2025,11/23/2025 03:42:58 PM,41.837347573,-87.654786885,"(41.837347573, -87.654786885)"
14033859,JJ495286,2025-11-15 21:27:00,003XX W INSTITUTE PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),False,False,1823,18,2.0,8.0,26,1174019.0,1905971.0,2025,11/23/2025 03:42:58 PM,41.89739352,-87.636293102,"(41.89739352, -87.636293102)"
14030839,JJ490847,2025-11-15 21:24:00,040XX N MONITOR AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,False,True,1624,16,38.0,15.0,08B,1136630.0,1926226.0,2025,11/23/2025 03:42:58 PM,41.95372698,-87.773133441,"(41.95372698, -87.773133441)"
14030064,JJ490850,2025-11-15 21:18:00,0000X E 100TH ST,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,False,False,511,5,9.0,49.0,26,1178484.0,1838684.0,2025,11/23/2025 03:42:58 PM,41.71265127,-87.621939451,"(41.71265127, -87.621939451)"
14030025,JJ490839,2025-11-15 21:16:00,077XX S PHILLIPS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,421,4,7.0,43.0,14,1193874.0,1854065.0,2025,11/23/2025 03:42:58 PM,41.754495358,-87.565074531,"(41.754495358, -87.565074531)"
14030090,JJ490874,2025-11-15 21:15:00,020XX W DIVISION ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1424,14,1.0,24.0,07,1162494.0,1907984.0,2025,11/23/2025 03:42:58 PM,41.903166488,-87.678566378,"(41.903166488, -87.678566378)"
14030035,JJ490837,2025-11-15 21:15:00,020XX W MONROE ST,0460,BATTERY,SIMPLE,STREET,False,False,1223,12,27.0,28.0,08B,1163015.0,1899549.0,2025,11/23/2025 03:42:58 PM,41.880009247,-87.676889681,"(41.880009247, -87.676889681)"
14030041,JJ490840,2025-11-15 21:14:00,033XX S DAMEN AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,912,9,12.0,59.0,26,1163558.0,1882690.0,2025,11/23/2025 03:42:58 PM,41.833735126,-87.675370229,"(41.833735126, -87.675370229)"
14030059,JJ490841,2025-11-15 21:10:00,042XX S FAIRFIELD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,921,9,12.0,58.0,15,1158733.0,1876530.0,2025,11/23/2025 03:42:58 PM,41.816931395,-87.693242676,"(41.816931395, -87.693242676)"
14030347,JJ491204,2025-11-15 21:09:00,058XX N DRAKE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1711,17,39.0,13.0,06,1151661.0,1938574.0,2025,11/23/2025 03:42:58 PM,41.98732777,-87.717551131,"(41.98732777, -87.717551131)"
14030578,JJ491557,2025-11-15 21:00:00,038XX N BROADWAY,0710,THEFT,THEFT FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1925,19,46.0,6.0,06,1170233.0,1925712.0,2025,11/23/2025 03:42:58 PM,41.951647354,-87.649620367,"(41.951647354, -87.649620367)"
14031387,JJ492563,2025-11-15 21:00:00,005XX N ADA ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,VEHICLE NON-COMMERCIAL,False,False,1215,12,1.0,24.0,06,1167366.0,1903781.0,2025,11/23/2025 03:42:58 PM,41.891529733,-87.660791621,"(41.891529733, -87.660791621)"
14030286,JJ491104,2025-11-15 21:00:00,054XX S INGLESIDE AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,233,2,5.0,41.0,06,1183457.0,1869424.0,2025,11/23/2025 03:42:58 PM,41.796890794,-87.602770958,"(41.796890794, -87.602770958)"
14030404,JJ491164,2025-11-15 21:00:00,030XX W 112TH ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,DRIVEWAY - RESIDENTIAL,False,False,2211,22,19.0,74.0,07,1158106.0,1830189.0,2025,11/23/2025 03:42:58 PM,41.68977723,-87.696800366,"(41.68977723, -87.696800366)"
14036395,JJ498524,2025-11-15 21:00:00,002XX N WELLS ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,122,1,42.0,32.0,06,,,2025,11/23/2025 03:42:58 PM,,,
14037184,JJ499501,2025-11-15 21:00:00,004XX W MARQUETTE RD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,722,7,6.0,68.0,05,,,2025,11/24/2025 03:41:59 PM,,,
14030108,JJ490894,2025-11-15 21:00:00,092XX S KIMBARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,False,413,4,8.0,47.0,14,1186487.0,1843798.0,2025,11/23/2025 03:42:58 PM,41.72649948,-87.592469116,"(41.72649948, -87.592469116)"
14030050,JJ490846,2025-11-15 20:52:00,051XX N SIMONDS DR,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,2024,20,48.0,3.0,18,1170788.0,1934634.0,2025,11/23/2025 03:42:58 PM,41.976117409,-87.647317624,"(41.976117409, -87.647317624)"
14030068,JJ490826,2025-11-15 20:49:00,012XX W 79TH ST,0325,ROBBERY,VEHICULAR HIJACKING,SMALL RETAIL STORE,False,False,612,6,17.0,71.0,03,1169539.0,1852401.0,2025,11/23/2025 03:42:58 PM,41.750490827,-87.654302474,"(41.750490827, -87.654302474)"
14030619,JJ491612,2025-11-15 20:48:00,129XX S MORGAN ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,523,5,9.0,53.0,06,1172031.0,1819113.0,2025,11/23/2025 03:42:58 PM,41.65908917,-87.646144026,"(41.65908917, -87.646144026)"
14030067,JJ490857,2025-11-15 20:48:00,012XX W 79TH ST,0330,ROBBERY,AGGRAVATED,DEPARTMENT STORE,False,False,612,6,17.0,71.0,03,1169539.0,1852401.0,2025,11/23/2025 03:42:58 PM,41.750490827,-87.654302474,"(41.750490827, -87.654302474)"
14030013,JJ490829,2025-11-15 20:47:00,013XX W 110TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2234,22,21.0,75.0,08B,1169410.0,1831490.0,2025,11/23/2025 03:42:58 PM,41.693110719,-87.65537864,"(41.693110719, -87.65537864)"
14030103,JJ490848,2025-11-15 20:45:00,005XX S STATE ST,1330,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,False,False,123,1,4.0,32.0,26,1176447.0,1897923.0,2025,11/23/2025 03:42:58 PM,41.875254895,-87.627618559,"(41.875254895, -87.627618559)"
14030016,JJ490821,2025-11-15 20:34:00,008XX N LATROBE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,False,True,1524,15,37.0,25.0,26,1141203.0,1905115.0,2025,11/23/2025 03:42:58 PM,41.895712919,-87.756844122,"(41.895712919, -87.756844122)"
14030080,JJ490816,2025-11-15 20:32:00,002XX S LAFLIN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,True,1231,12,27.0,28.0,15,1166441.0,1898843.0,2025,11/23/2025 03:42:58 PM,41.87799933,-87.66433008,"(41.87799933, -87.66433008)"
14030807,JJ490834,2025-11-15 20:30:00,053XX S HARPER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,234,2,5.0,41.0,08B,1187183.0,1870246.0,2025,11/23/2025 03:42:58 PM,41.799058715,-87.589081404,"(41.799058715, -87.589081404)"
